depth,gr,vp_hole,vp_no_hole,vp_gardner,vp_rebuilt
2013.2528,91.8785,2294.7000000000007,2294.7000000000007,NULL,2294.7000000000007
2013.4052,86.8004,2296.7,2296.7,NULL,2296.7
2013.5576,86.0021,2290.4,2290.4,NULL,2290.4
2013.71,87.35700000000001,2277.5,2277.5,NULL,2277.5
2013.8624,90.4024,2262.0,2262.0,NULL,2262.0
2014.0148,93.3074,2263.1,2263.1,NULL,2263.1
2014.1672,91.9733,2256.7,2256.7,NULL,2256.7
2014.3196,88.62700000000002,2248.9,2248.9,NULL,2248.9
2014.4720000000002,84.5827,2239.1,2239.1,NULL,2239.1
2014.6244,84.5907,2242.9,2242.9,NULL,2242.9
2014.7769,84.4878,2234.6,2234.6,NULL,2234.6
2014.9292,86.194,2195.600000000001,2195.600000000001,NULL,2195.600000000001
2015.0815,83.5144,2181.8,2181.8,NULL,2181.8
2015.234,85.3374,2181.4,2181.4,NULL,2181.4
2015.3864,80.9337,2200.0,2200.0,NULL,2200.0
2015.5388,83.6182,2206.8,2206.8,NULL,2206.8
2015.6912,84.59,2210.4,2210.4,NULL,2210.4
2015.8436,88.994,2261.8,2261.8,NULL,2261.8
2015.996,90.1404,2271.4,2271.4,NULL,2271.4
2016.1484,89.5602,2293.2000000000007,2293.2000000000007,NULL,2293.2000000000007
2016.3008,88.631,2351.0,2351.0,NULL,2351.0
2016.4532,88.7827,2360.9,2360.9,NULL,2360.9
2016.6056,89.3878,2336.2,2336.2,NULL,2336.2
2016.7581,87.3307,2346.3,2346.3,NULL,2346.3
2016.9104,88.0504,2278.7000000000007,2278.7000000000007,NULL,2278.7000000000007
2017.0627,87.2316,2289.1,2289.1,NULL,2289.1
2017.2152,88.7209,2294.4,2294.4,NULL,2294.4
2017.3676,90.2616,2461.8,2461.8,NULL,2461.8
2017.52,91.1066,2495.4,2495.4,NULL,2495.4
2017.6724,93.1383,2518.7,2518.7,NULL,2518.7
2017.8248,90.3819,2400.8,2400.8,NULL,2400.8
2017.9772,90.1941,2515.6,2515.6,NULL,2515.6
2018.1296,88.8255,2365.5,2365.5,NULL,2365.5
2018.2820000000002,82.3323,2331.2,2331.2,NULL,2331.2
2018.4344,77.373,2263.7,2263.7,NULL,2263.7
2018.5868,72.786,2255.9,2255.9,NULL,2255.9
2018.7393,77.594,2203.0,2203.0,NULL,2203.0
2018.8916,82.7134,2205.6,2205.6,NULL,2205.6
2019.0439,85.7247,2271.2,2271.2,NULL,2271.2
2019.1964,87.9105,2339.6,2339.6,NULL,2339.6
2019.3488,87.5561,2352.3,2352.3,NULL,2352.3
2019.5012,90.8736,2390.6,2390.6,NULL,2390.6
2019.6536,94.9456,2375.3,2375.3,NULL,2375.3
2019.806,95.5885,2412.1,2412.1,NULL,2412.1
2019.9584,97.24600000000001,2459.3,2459.3,NULL,2459.3
2020.1108,94.7566,2434.9,2434.9,NULL,2434.9
2020.2632,97.7979,2438.2000000000007,2438.2000000000007,NULL,2438.2000000000007
2020.4156,100.9127,2439.5,2439.5,NULL,2439.5
2020.568,106.6833,2352.4,2352.4,NULL,2352.4
2020.7205,106.2234,2301.7,2301.7,NULL,2301.7
2020.8728,101.6096,2439.1,2439.1,NULL,2439.1
2021.0251,93.3104,2444.2,2444.2,NULL,2444.2
2021.1776,93.6422,2492.9,2492.9,NULL,2492.9
2021.33,93.0382,2479.8,2479.8,NULL,2479.8
2021.4824,101.2866,2462.1,2462.1,NULL,2462.1
2021.6348,102.6424,2338.9,2338.9,NULL,2338.9
2021.7872,108.2303,2328.8,2328.8,NULL,2328.8
2021.9396,108.7142,2311.4,2311.4,NULL,2311.4
2022.092,111.5204,2342.6,2342.6,NULL,2342.6
2022.2444,113.8826,2501.4,2501.4,NULL,2501.4
2022.3969,113.8872,2778.1,2778.1,NULL,2778.1
2022.5492,113.5013,2795.6,2795.6,NULL,2795.6
2022.7017,113.0393,2673.2,2673.2,NULL,2673.2
2022.854,105.9077,2673.1,2673.1,NULL,2673.1
2023.0063,95.8867,2613.9,2613.9,NULL,2613.9
2023.1588,86.0494,2609.0,2609.0,NULL,2609.0
2023.3112,94.5306,2618.6,2618.6,NULL,2618.6
2023.4636,100.0706,2825.5,2825.5,NULL,2825.5
2023.616,104.0902,2629.4,2629.4,NULL,2629.4
2023.7684,102.0292,2649.8,2649.8,NULL,2649.8
2023.9208,106.7842,2558.7,2558.7,NULL,2558.7
2024.0732,112.5356,2575.6,2575.6,NULL,2575.6
2024.2256,110.6767,2460.3,2460.3,NULL,2460.3
2024.3781,104.9543,2432.0,2432.0,NULL,2432.0
2024.5304,95.5703,2414.5,2414.5,NULL,2414.5
2024.6827,91.7376,2384.1,2384.1,NULL,2384.1
2024.8352,91.135,2420.5,2420.5,NULL,2420.5
2024.9875,93.58200000000001,2418.4,2418.4,NULL,2418.4
2025.14,90.7152,2504.6,2504.6,NULL,2504.6
2025.2924,90.1755,2409.2,2409.2,NULL,2409.2
2025.4448,92.3176,2406.1,2406.1,NULL,2406.1
2025.5972,99.0766,2567.7,2567.7,NULL,2567.7
2025.7496,101.7406,2429.2,2429.2,NULL,2429.2
2025.902,100.8654,2725.8,2725.8,NULL,2725.8
2026.0544,100.6454,2414.4,2414.4,NULL,2414.4
2026.2068,94.7041,2383.3,2383.3,NULL,2383.3
2026.3593,98.4201,2403.4,2403.4,NULL,2403.4
2026.5116,98.184,2461.3,2461.3,NULL,2461.3
2026.6639,103.7155,2449.3,2449.3,NULL,2449.3
2026.8164,102.4576,2447.0,2447.0,NULL,2447.0
2026.9688,110.325,2537.0,2537.0,NULL,2537.0
2027.1212,118.7041,2313.4,2313.4,NULL,2313.4
2027.2736,124.5564,2319.2,2319.2,NULL,2319.2
2027.4260000000002,121.2672,2333.2000000000007,2333.2000000000007,NULL,2333.2000000000007
2027.5784,113.4783,2341.3,2341.3,NULL,2341.3
2027.7308,106.1214,2364.1,2364.1,NULL,2364.1
2027.8832,99.3157,2407.5,2407.5,NULL,2407.5
2028.0356,104.86399999999999,2508.100000000001,2508.100000000001,NULL,2508.100000000001
2028.1879999999999,107.9111,2551.6,2551.6,NULL,2551.6
2028.3405,108.131,2535.8,2535.8,NULL,2535.8
2028.4928,104.6245,2464.5,2464.5,NULL,2464.5
2028.6451,100.1349,2249.8,2249.8,NULL,2249.8
2028.7976,97.3308,2247.8,2247.8,NULL,2247.8
2028.95,97.1191,2263.8,2263.8,NULL,2263.8
2029.1024,101.0155,2244.7,2244.7,NULL,2244.7
2029.2548,104.454,2254.0,2254.0,NULL,2254.0
2029.4072,104.3137,2266.8,2266.8,NULL,2266.8
2029.5596,100.9013,2278.3,2278.3,NULL,2278.3
2029.7120000000002,94.9703,2259.8,2259.8,NULL,2259.8
2029.8644,88.5362,2240.5,2240.5,NULL,2240.5
2030.0168,89.0158,2234.3,2234.3,NULL,2234.3
2030.1692,96.3309,2266.3,2266.3,NULL,2266.3
2030.3217,101.3536,2275.1,2275.1,NULL,2275.1
2030.474,101.49600000000001,2255.1,2255.1,NULL,2255.1
2030.6263,96.2144,2226.2,2226.2,NULL,2226.2
2030.7788,91.1571,2185.1,2185.1,NULL,2185.1
2030.9312,91.63600000000001,2183.0,2183.0,NULL,2183.0
2031.0836,95.7548,2175.3,2175.3,NULL,2175.3
2031.236,98.5973,2150.8,2150.8,NULL,2150.8
2031.3884,99.7667,2175.3,2175.3,NULL,2175.3
2031.5408,98.6916,2185.3,2185.3,NULL,2185.3
2031.6932,98.4323,2198.0,2198.0,NULL,2198.0
2031.8456,93.4254,2216.5,2216.5,NULL,2216.5
2031.9979999999998,91.0594,2197.2,2197.2,NULL,2197.2
2032.1504,85.7454,2208.1,2208.1,NULL,2208.1
2032.3029,87.5868,2203.9,2203.9,NULL,2203.9
2032.4552,85.82600000000002,2205.1,2205.1,NULL,2205.1
2032.6075,88.1296,2202.100000000001,2202.100000000001,NULL,2202.100000000001
2032.76,86.9401,2205.5,2205.5,NULL,2205.5
2032.9124,90.14200000000001,2209.0,2209.0,NULL,2209.0
2033.0648,88.5505,2207.6,2207.6,NULL,2207.6
2033.2172,88.5862,2220.0,2220.0,NULL,2220.0
2033.3696,85.8964,2215.2,2215.2,NULL,2215.2
2033.5220000000002,89.3399,2226.2,2226.2,NULL,2226.2
2033.6744,89.5774,2228.4,2228.4,NULL,2228.4
2033.8268,89.8482,2218.5,2218.5,NULL,2218.5
2033.9792,88.1329,2187.8,2187.8,NULL,2187.8
2034.1316,88.1273,2168.9,2168.9,NULL,2168.9
2034.2841,87.1913,2192.3,2192.3,NULL,2192.3
2034.4364,86.1669,2200.9,2200.9,NULL,2200.9
2034.5887,83.7294,2210.4,2210.4,NULL,2210.4
2034.7412,83.3407,2223.4,2223.4,NULL,2223.4
2034.8936,83.9865,2238.2,2238.2,NULL,2238.2
2035.046,84.2211,2234.9,2234.9,NULL,2234.9
2035.1984,80.2252,2243.4,2243.4,NULL,2243.4
2035.3508,78.922,2224.6,2224.6,NULL,2224.6
2035.5032,76.8496,2226.3,2226.3,NULL,2226.3
2035.6556,79.9016,2249.7,2249.7,NULL,2249.7
2035.808,81.7194,2286.3,2286.3,NULL,2286.3
2035.9604,83.5687,2281.6,2281.6,NULL,2281.6
2036.1128,86.6119,2283.8,2283.8,NULL,2283.8
2036.2653,89.6156,2283.0,2283.0,NULL,2283.0
2036.4176,87.7887,2249.7,2249.7,NULL,2249.7
2036.5699,87.2447,2221.9,2221.9,NULL,2221.9
2036.7224,84.2481,2221.7,2221.7,NULL,2221.7
2036.8748,85.7732,2223.6,2223.6,NULL,2223.6
2037.0272,86.0448,2234.4,2234.4,NULL,2234.4
2037.1796,85.1664,2249.4,2249.4,NULL,2249.4
2037.332,89.208,2268.1,2268.1,NULL,2268.1
2037.4844,89.8444,2259.0,2259.0,NULL,2259.0
2037.6368,90.75,2258.9,2258.9,NULL,2258.9
2037.7892,86.7141,2264.4,2264.4,NULL,2264.4
2037.9417,86.1634,2263.9,2263.9,NULL,2263.9
2038.094,86.2448,2261.2000000000007,2261.2000000000007,NULL,2261.2000000000007
2038.2465,87.1528,2251.2,2251.2,NULL,2251.2
2038.3988,87.0657,2260.600000000001,2260.600000000001,NULL,2260.600000000001
2038.5511,87.2144,2266.6,2266.6,NULL,2266.6
2038.7036,86.3498,2275.9,2275.9,NULL,2275.9
2038.856,82.3451,2293.5,2293.5,NULL,2293.5
2039.0084,81.6929,2314.5,2314.5,NULL,2314.5
2039.1608,80.50399999999998,2300.1,2300.1,NULL,2300.1
2039.3132,83.8418,2300.9,2300.9,NULL,2300.9
2039.4656,85.0785,2318.4,2318.4,NULL,2318.4
2039.618,87.9488,2333.8,2333.8,NULL,2333.8
2039.7704,90.6691,2343.7000000000007,2343.7000000000007,NULL,2343.7000000000007
2039.9229,90.3369,2339.5,2339.5,NULL,2339.5
2040.0752,87.5366,2316.3,2316.3,NULL,2316.3
2040.2275,83.5209,2287.0,2287.0,NULL,2287.0
2040.38,79.5219,2275.6,2275.6,NULL,2275.6
2040.5323,80.0584,2276.1,2276.1,NULL,2276.1
2040.6848,81.9903,2281.8,2281.8,NULL,2281.8
2040.8372,87.3532,2288.8,2288.8,NULL,2288.8
2040.9896,87.4976,2313.9,2313.9,NULL,2313.9
2041.142,89.8811,2313.9,2313.9,NULL,2313.9
2041.2944,92.2942,2318.1,2318.1,NULL,2318.1
2041.4468,96.7292,2305.4,2305.4,NULL,2305.4
2041.5992,93.4186,2285.9,2285.9,NULL,2285.9
2041.7516,87.8551,2281.7,2281.7,NULL,2281.7
2041.9041,83.0127,2264.9,2264.9,NULL,2264.9
2042.0564,83.7518,2213.9,2213.9,NULL,2213.9
2042.2087,83.8395,2229.9,2229.9,NULL,2229.9
2042.3612,84.6964,2257.8,2257.8,NULL,2257.8
2042.5135,81.8486,2281.8,2281.8,NULL,2281.8
2042.6660000000002,81.6569,2326.9,2326.9,NULL,2326.9
2042.8184,78.524,2366.6,2366.6,NULL,2366.6
2042.9708,80.5329,2389.0,2389.0,NULL,2389.0
2043.1232,83.5572,2384.4,2384.4,NULL,2384.4
2043.2756,85.681,2383.2,2383.2,NULL,2383.2
2043.4279999999999,84.6171,2370.7,2370.7,NULL,2370.7
2043.5804,79.9291,2366.1,2366.1,NULL,2366.1
2043.7328,79.8396,2341.5,2341.5,NULL,2341.5
2043.8853,80.1735,2332.9,2332.9,NULL,2332.9
2044.0376,80.8294,2334.1,2334.1,NULL,2334.1
2044.1899,81.6113,2349.7,2349.7,NULL,2349.7
2044.3424,81.8469,2354.0,2354.0,NULL,2354.0
2044.4948,83.3184,2352.5,2352.5,NULL,2352.5
2044.6472,84.1662,2385.600000000001,2385.600000000001,NULL,2385.600000000001
2044.7996,85.6327,2382.0,2382.0,NULL,2382.0
2044.9520000000002,86.2872,2350.9,2350.9,NULL,2350.9
2045.1044,86.6093,2348.7,2348.7,NULL,2348.7
2045.2568,83.806,2324.1,2324.1,NULL,2324.1
2045.4092,79.6237,2296.1,2296.1,NULL,2296.1
2045.5616,77.1005,2315.2,2315.2,NULL,2315.2
2045.714,75.9458,2334.7000000000007,2334.7000000000007,NULL,2334.7000000000007
2045.8665,76.3971,2354.2000000000007,2354.2000000000007,NULL,2354.2000000000007
2046.0188,74.1555,2388.1,2388.1,NULL,2388.1
2046.1711,73.3321,2392.8,2392.8,NULL,2392.8
2046.3236,74.8535,2484.4,2484.4,NULL,2484.4
2046.476,78.5354,2496.3,2496.3,NULL,2496.3
2046.6284,84.6433,2491.7,2491.7,NULL,2491.7
2046.7808,87.92200000000004,2470.0,2470.0,NULL,2470.0
2046.9332,90.7744,2509.3,2509.3,NULL,2509.3
2047.0856,83.3958,2492.6,2492.6,NULL,2492.6
2047.2379999999998,73.6203,2430.1,2430.1,NULL,2430.1
2047.3904,65.8692,2452.9,2452.9,NULL,2452.9
2047.5428,70.673,2459.5,2459.5,NULL,2459.5
2047.6952,77.5891,2484.3,2484.3,NULL,2484.3
2047.8477,83.0183,2522.600000000001,2522.600000000001,NULL,2522.600000000001
2048.0,79.9803,2530.2,2530.2,NULL,2530.2
2048.1523,77.081,2535.2000000000007,2535.2000000000007,NULL,2535.2000000000007
2048.3047,72.0264,2473.3,2473.3,NULL,2473.3
2048.4573,68.9256,2452.0,2452.0,NULL,2452.0
2048.6096,69.4508,2405.9,2405.9,NULL,2405.9
2048.762,68.1078,2434.4,2434.4,NULL,2434.4
2048.9143,70.8774,2404.8,2404.8,NULL,2404.8
2049.0669,71.4272,2415.7000000000007,2415.7000000000007,NULL,2415.7000000000007
2049.2192,75.6682,2414.0,2414.0,NULL,2414.0
2049.3716,76.4747,2424.6,2424.6,NULL,2424.6
2049.5239,77.9354,2448.7000000000007,2448.7000000000007,NULL,2448.7000000000007
2049.6765,73.3957,2465.5,2465.5,NULL,2465.5
2049.8289,67.2483,2456.3,2456.3,NULL,2456.3
2049.9812,66.4193,2436.9,2436.9,NULL,2436.9
2050.1335,68.5051,2477.0,2477.0,NULL,2477.0
2050.2859,75.2451,2469.2,2469.2,NULL,2469.2
2050.4385,74.7995,2470.0,2470.0,NULL,2470.0
2050.5908,73.9942,2466.0,2466.0,NULL,2466.0
2050.7432,71.0755,2463.6,2463.6,NULL,2463.6
2050.8955,65.5476,2395.3,2395.3,NULL,2395.3
2051.0481,62.2156,2351.8,2351.8,NULL,2351.8
2051.2004,58.2216,2336.3,2336.3,NULL,2336.3
2051.3528,58.5856,2335.4,2335.4,NULL,2335.4
2051.5051,61.7709,2301.2000000000007,2301.2000000000007,NULL,2301.2000000000007
2051.6577,64.3783,2329.4,2329.4,NULL,2329.4
2051.8101,67.4004,2333.4,2333.4,NULL,2333.4
2051.9624,66.0868,2368.7,2368.7,NULL,2368.7
2052.1147,66.378,2444.5,2444.5,NULL,2444.5
2052.2671,63.4767,2549.4,2549.4,NULL,2549.4
2052.4197,63.7948,2576.2,2576.2,NULL,2576.2
2052.572,61.1771,2631.0,2631.0,NULL,2631.0
2052.7244,62.7355,2660.2000000000007,2660.2000000000007,NULL,2660.2000000000007
2052.8767,61.7134,2668.4,2668.4,NULL,2668.4
2053.0293,62.95399999999999,2687.1,2687.1,NULL,2687.1
2053.1816,60.965,2651.5,2651.5,NULL,2651.5
2053.334,61.6815,2636.2000000000007,2636.2000000000007,NULL,2636.2000000000007
2053.4863,61.8881,2591.0,2591.0,NULL,2591.0
2053.6389,65.36,2543.1,2543.1,NULL,2543.1
2053.7913,68.6127,2538.3,2538.3,NULL,2538.3
2053.9436,73.0016,2509.7,2509.7,NULL,2509.7
2054.0959,74.7557,2518.1,2518.1,NULL,2518.1
2054.2483,75.5746,2577.6,2577.6,NULL,2577.6
2054.4009,76.6997,2662.8,2662.8,NULL,2662.8
2054.5532,75.9004,2747.8,2747.8,NULL,2747.8
2054.7056,77.5227,2993.9,2993.9,NULL,2993.9
2054.8579,79.9149,3018.7,3018.7,NULL,3018.7
2055.0105,76.4767,3031.9,3031.9,NULL,3031.9
2055.1628,68.6372,2941.8,2941.8,NULL,2941.8
2055.3152,56.7861,2830.5,2830.5,NULL,2830.5
2055.4675,59.1575,2765.5,2765.5,NULL,2765.5
2055.6201,59.4014,2674.100000000001,2674.100000000001,NULL,2674.100000000001
2055.7725,65.2594,2511.3,2511.3,NULL,2511.3
2055.9248,67.5753,2482.5,2482.5,NULL,2482.5
2056.0771,76.7633,2466.5,2466.5,NULL,2466.5
2056.2295,83.1393,2488.100000000001,2488.100000000001,NULL,2488.100000000001
2056.3821,86.5074,2520.7000000000007,2520.7000000000007,NULL,2520.7000000000007
2056.5344,84.3615,2511.3,2511.3,NULL,2511.3
2056.6868,80.8991,2490.2000000000007,2490.2000000000007,NULL,2490.2000000000007
2056.8391,72.8765,2485.9,2485.9,NULL,2485.9
2056.9917,68.4166,2485.4,2485.4,NULL,2485.4
2057.144,66.3572,2480.100000000001,2480.100000000001,NULL,2480.100000000001
2057.2964,70.5055,2449.9,2449.9,NULL,2449.9
2057.4487,74.3303,2477.9,2477.9,NULL,2477.9
2057.6013,74.8266,2510.7,2510.7,NULL,2510.7
2057.7537,73.2161,2530.8,2530.8,NULL,2530.8
2057.906,69.5489,2556.5,2556.5,NULL,2556.5
2058.0583,64.9512,2554.9,2554.9,NULL,2554.9
2058.2107,63.0504,2574.4,2574.4,NULL,2574.4
2058.3633,61.8778,2580.5,2580.5,NULL,2580.5
2058.5156,63.574,2545.3,2545.3,NULL,2545.3
2058.6679999999997,66.156,2535.9,2535.9,NULL,2535.9
2058.8203,68.357,2552.5,2552.5,NULL,2552.5
2058.9729,68.3363,2571.6,2571.6,NULL,2571.6
2059.1252,67.0339,2636.2000000000007,2636.2000000000007,NULL,2636.2000000000007
2059.2776,61.0436,2639.3,2639.3,NULL,2639.3
2059.4299,59.4526,2682.9,2682.9,NULL,2682.9
2059.5825,57.1255,2638.9,2638.9,NULL,2638.9
2059.7349,59.3249,2640.9,2640.9,NULL,2640.9
2059.8872,60.5127,2574.2,2574.2,NULL,2574.2
2060.0396,61.1071,2532.6,2532.6,NULL,2532.6
2060.1919,62.282,2548.8,2548.8,NULL,2548.8
2060.3445,60.7011,2567.8,2567.8,NULL,2567.8
2060.4968,57.9928,2582.3,2582.3,NULL,2582.3
2060.6492,55.948,2643.600000000001,2643.600000000001,NULL,2643.600000000001
2060.8015,54.5217,2664.1,2664.1,NULL,2664.1
2060.9541,59.9638,2691.5,2691.5,NULL,2691.5
2061.1064,61.8195,2793.8,2793.8,NULL,2793.8
2061.2588,63.9944,2839.9,2839.9,NULL,2839.9
2061.4111,62.6861,2833.3,2833.3,NULL,2833.3
2061.5637,64.3949,2897.3,2897.3,NULL,2897.3
2061.7161,66.064,2888.9,2888.9,NULL,2888.9
2061.8684,61.4385,2562.9,2562.9,NULL,2562.9
2062.0208,58.6387,2588.2000000000007,2588.2000000000007,NULL,2588.2000000000007
2062.1731,56.7215,2553.2,2553.2,NULL,2553.2
2062.3257,60.4989,2543.8,2543.8,NULL,2543.8
2062.478,64.9796,2575.0,2575.0,NULL,2575.0
2062.6304,67.4435,2572.8,2572.8,NULL,2572.8
2062.7827,68.6921,2589.6,2589.6,NULL,2589.6
2062.9353,65.2075,2633.4,2633.4,NULL,2633.4
2063.0876,66.1279,2620.4,2620.4,NULL,2620.4
2063.24,65.5584,2641.9,2641.9,NULL,2641.9
2063.3923,68.0351,2611.600000000001,2611.600000000001,NULL,2611.600000000001
2063.5449,61.9191,2665.1,2665.1,NULL,2665.1
2063.6973,58.7732,2660.0,2660.0,NULL,2660.0
2063.8496,51.6192,2591.5,2591.5,NULL,2591.5
2064.002,53.1531,2635.4,2635.4,NULL,2635.4
2064.1543,53.3943,2624.2000000000007,2624.2000000000007,NULL,2624.2000000000007
2064.3069,56.7198,2585.3,2585.3,NULL,2585.3
2064.4592,56.6817,2585.8,2585.8,NULL,2585.8
2064.6116,54.431999999999995,2529.7000000000007,2529.7000000000007,NULL,2529.7000000000007
2064.7639,53.0296,2540.0,2540.0,NULL,2540.0
2064.9165,54.3476,2461.0,2461.0,NULL,2461.0
2065.0688,57.9236,2494.5,2494.5,NULL,2494.5
2065.2212,61.4415,2459.7000000000007,2459.7000000000007,NULL,2459.7000000000007
2065.3735,62.6541,2468.9,2468.9,NULL,2468.9
2065.5259,58.4147,2573.4,2573.4,NULL,2573.4
2065.6785,56.7632,2587.6,2587.6,NULL,2587.6
2065.8308,56.5339,2595.8,2595.8,NULL,2595.8
2065.9832,59.8484,2604.5,2604.5,NULL,2604.5
2066.1355,59.402,2607.7,2607.7,NULL,2607.7
2066.2881,58.8348,2628.0,2628.0,NULL,2628.0
2066.4404,60.0103,2615.600000000001,2615.600000000001,NULL,2615.600000000001
2066.5928,60.5051,2554.2,2554.2,NULL,2554.2
2066.7451,62.8526,2533.4,2533.4,NULL,2533.4
2066.8977,64.1169,2523.8,2523.8,NULL,2523.8
2067.05,68.4306,2524.8,2524.8,NULL,2524.8
2067.2024,68.0845,2540.9,2540.9,NULL,2540.9
2067.3547,67.4704,2535.8,2535.8,NULL,2535.8
2067.5071,64.4698,2538.7,2538.7,NULL,2538.7
2067.6597,63.2775,2562.2,2562.2,NULL,2562.2
2067.812,60.1918,2566.4,2566.4,NULL,2566.4
2067.9644,62.1238,2570.600000000001,2570.600000000001,NULL,2570.600000000001
2068.1167,59.1814,2542.0,2542.0,NULL,2542.0
2068.2693,58.7595,2537.5,2537.5,NULL,2537.5
2068.4216,56.3184,2525.9,2525.9,NULL,2525.9
2068.574,59.7548,2537.3,2537.3,NULL,2537.3
2068.7263,64.1718,2537.8,2537.8,NULL,2537.8
2068.8789,69.146,2561.7000000000007,2561.7000000000007,NULL,2561.7000000000007
2069.0312,68.4696,2593.7000000000007,2593.7000000000007,NULL,2593.7000000000007
2069.1836,72.0258,2594.7,2594.7,NULL,2594.7
